name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,gender
Allison Hill,East Jill,113810,389,39698,27,50.0,False,Male
Brandon Hall,New Jamesside,44592,729,15446,28,55.0,False,Female
Rhonda Smith,Lake Roberto,33278,584,11189,13,45.0,False,Male
Gabrielle Davis,West Melanieview,127196,344,48823,29,50.0,False,Male
Valerie Gray,Mariastad,66048,496,47174,4,25.0,False,Male
Darren Roberts,Port Jesseville,62098,689,19217,29,65.0,True,Female
Holly Wood,Lake Joseph,59256,373,40920,40,35.0,False,Male
Nicholas Martin,Nelsonside,48289,524,45866,20,25.0,False,Male
Patty Perez,Port Leslieview,126530,367,14826,36,55.0,False,Male
Emily Rios,Wilkersonmouth,43434,446,18359,8,20.0,False,Female
Justin Baker,Hurstfurt,118696,670,15373,8,75.0,True,Male
Ann Williams,East Courtneychester,127080,365,26216,24,55.0,False,Male
Julie King,Lake Jenniferside,146939,573,43006,21,50.0,False,Male
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100.0,True,Male
Mark Lynch,West Kathryn,41395,843,1037,38,80.0,True,Female
Alec Hickman,Johnbury,107397,380,6613,31,60.0,True,Male
Vanessa Patel,East Donna,85302,469,18370,33,50.0,False,Female
Jenny Lewis,Lake Larry,34165,682,29711,33,50.0,False,Female
David Brown,New Angelashire,33905,525,1471,4,30.0,False,Female
Amy Jones,Port Markhaven,42280,543,19250,31,25.0,False,Male
Carlos Walls,Sanchezfort,58657,716,13478,6,65.0,True,Female
Jeffrey Henderson,Shieldston,60495,400,4972,25,50.0,False,Male
Rebecca Rodriguez,East Amanda,96237,443,28648,11,45.0,False,Female
David Leblanc,Mortonside,108907,400,4315,34,60.0,True,Female
Tracy House,East Richard,33478,792,15008,25,60.0,True,Female
Carmen Smith,Bakermouth,103563,592,28722,35,65.0,True,Female
Katelyn Lee,North Beth,56062,362,21552,3,30.0,False,Female
John Calhoun,North Susan,123850,382,13178,4,45.0,False,Female
Megan Young,New Johnton,115181,383,28474,37,55.0,False,Female
Emily Green,Johnfurt,121924,434,45019,19,50.0,False,Female
Timothy Walls,South Christineshire,101426,402,5801,34,60.0,True,Male
Derek Mahoney,East Mikeburgh,84987,748,36600,19,75.0,True,Male
Victoria Valdez,Lake Lisaport,58893,406,9800,16,45.0,False,Female
Brian Tran,Juanborough,88878,651,14342,40,65.0,True,Female
Kathy King,North Cynthiaview,107236,345,1232,21,60.0,True,Female
Mandy Green,Arnoldchester,66463,309,8331,4,35.0,False,Male
Melissa Hernandez,Port Mikeside,136093,451,29166,8,50.0,False,Female
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55.0,False,Male
Jennifer Oliver,East Michelle,30851,481,28020,1,10.0,False,Male
Tim Patton,Phambury,129458,573,11433,6,55.0,False,Male
Andrew Ruiz,Port Samantha,135620,658,21000,14,70.0,True,Male
Matthew Ross,Michelleview,50926,659,43040,32,50.0,False,Male
William Herrera,North Natalieview,121506,482,39049,16,50.0,False,Female
Kyle Reed,Samuelhaven,85392,418,26244,36,45.0,False,Female
Andrew Graham,West Ryan,74597,638,41839,20,50.0,False,Female
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60.0,True,Female
Cheryl Ortega,Byrdburgh,50379,608,27612,35,50.0,False,Female
Elizabeth Clark,Stevenmouth,58221,518,34500,30,35.0,False,Male
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55.0,False,Female
Curtis Johnson,South Cheryl,74118,374,30846,26,35.0,False,Female
Laura Higgins,Snyderbury,43396,451,43995,0,10.0,False,Male
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70.0,True,Female
Ryan Bryant,Contrerasside,79797,624,30004,39,60.0,True,Male
Stephanie Simmons,Merrittfort,42676,760,17986,15,60.0,True,Female
Destiny Strickland,Simsview,77052,750,6077,18,90.0,True,Male
George Orozco,East Edwardfurt,141082,456,47295,13,50.0,False,Female
Jason Daniels,Brownchester,75082,698,39278,1,50.0,False,Female
Pamela James,West Kennethfurt,109131,729,36272,34,75.0,True,Male
Stephanie Freeman,Ryantown,64671,698,23028,25,65.0,True,Male
